EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,NumCompaniesWorked,Over18,DistanceFromHome,Attrition,PerformanceRating,EmployeeCount,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,PercentSalaryHike,StockOptionLevel,StandardHours,Department,JobRole,JobLevel,JobInvolvement,JobSatisfaction,OverTime,BusinessTravel,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear
26,24,Female,Divorced,2,Other,0,Y,11,No,3,1,4011,8232,673,96,18,1,80,"Research & Development","Manufacturing Director",2,4,3,No,Non-Travel,1,4,2,5,4,2,1,3,5
27,36,Male,Single,4,"Life Sciences",7,Y,9,Yes,4,1,3407,6986,1218,82,23,0,80,Sales,"Sales Representative",1,2,1,No,Travel_Rarely,3,2,3,10,5,3,0,3,4
28,34,Female,Single,4,"Life Sciences",0,Y,7,No,3,1,11994,21293,419,53,11,0,80,"Research & Development","Research Director",3,3,2,No,Travel_Rarely,1,3,3,13,12,6,2,11,4
30,21,Male,Single,2,"Life Sciences",1,Y,15,No,3,1,1232,19281,391,96,14,0,80,"Research & Development","Research Scientist",1,3,4,No,Travel_Rarely,3,4,3,0,0,0,0,0,6
31,34,Male,Single,1,Medical,2,Y,6,Yes,3,1,2960,17102,699,83,11,0,80,"Research & Development","Research Scientist",1,3,1,No,Travel_Rarely,2,3,3,8,4,2,1,3,2
32,53,Female,Divorced,3,Other,4,Y,5,No,3,1,19094,10735,1282,58,11,1,80,"Research & Development",Manager,5,3,3,No,Travel_Rarely,3,4,2,26,14,13,4,8,3
33,32,Female,Single,1,"Life Sciences",1,Y,16,Yes,4,1,3919,4681,1125,72,22,0,80,"Research & Development","Research Scientist",1,1,1,Yes,Travel_Frequently,2,2,3,10,10,2,6,7,5
35,42,Male,Married,4,Marketing,0,Y,8,No,3,1,6825,21173,691,48,11,1,80,Sales,"Sales Executive",2,3,2,No,Travel_Rarely,3,4,3,10,9,7,4,2,2
36,44,Female,Married,4,Medical,3,Y,7,No,3,1,10248,2094,477,42,14,1,80,"Research & Development","Healthcare Representative",3,2,4,No,Travel_Rarely,1,4,3,24,22,6,5,17,4
38,46,Female,Single,4,Marketing,3,Y,2,No,3,1,18947,22822,705,83,12,0,80,Sales,Manager,5,3,1,No,Travel_Rarely,2,4,2,22,2,2,2,1,2
39,33,Male,Single,3,Medical,4,Y,2,No,3,1,2496,6670,924,78,11,0,80,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,3,4,3,7,1,1,0,0,3
40,44,Male,Married,4,Other,2,Y,10,No,3,1,6465,19121,1459,41,13,0,80,"Research & Development","Healthcare Representative",2,3,4,Yes,Travel_Rarely,4,4,4,9,4,2,1,3,5
41,30,Male,Single,2,Medical,1,Y,9,No,3,1,2206,16117,125,83,13,0,80,"Research & Development","Laboratory Technician",1,2,3,No,Travel_Rarely,4,1,3,10,10,0,1,8,5
42,39,Male,Married,3,"Technical Degree",3,Y,5,Yes,3,1,2086,3335,895,56,14,1,80,Sales,"Sales Representative",2,3,4,No,Travel_Rarely,4,3,4,19,1,0,0,0,6
45,24,Male,Married,3,Medical,2,Y,1,Yes,3,1,2293,3020,813,61,16,1,80,"Research & Development","Research Scientist",1,3,4,Yes,Travel_Rarely,2,1,2,6,2,0,2,0,2
46,43,Female,Divorced,2,Medical,1,Y,2,No,3,1,2645,21923,1273,72,12,2,80,"Research & Development","Research Scientist",1,4,3,No,Travel_Rarely,4,4,2,6,5,3,1,4,3
47,50,Male,Married,2,Marketing,1,Y,3,Yes,3,1,2683,3810,869,86,14,0,80,Sales,"Sales Representative",1,2,3,Yes,Travel_Rarely,1,3,3,3,3,2,0,2,2
49,35,Female,Married,3,Marketing,1,Y,2,No,3,1,2014,9687,890,97,13,0,80,Sales,"Sales Representative",1,3,4,No,Travel_Rarely,4,1,3,2,2,2,2,2,3
51,36,Female,Married,4,"Life Sciences",9,Y,5,No,3,1,3419,13072,852,82,14,1,80,"Research & Development","Research Scientist",1,2,1,Yes,Travel_Rarely,2,4,4,6,1,1,0,0,3
52,33,Female,Married,3,"Life Sciences",2,Y,1,No,3,1,5376,3193,1141,42,19,2,80,Sales,"Sales Executive",2,4,1,No,Travel_Frequently,3,1,3,10,5,3,1,3,3
53,35,Male,Divorced,2,Other,1,Y,4,No,3,1,1951,10910,464,75,12,1,80,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,3,3,3,1,1,0,0,0,3
54,27,Female,Divorced,4,"Life Sciences",1,Y,2,No,3,1,2341,19715,1240,33,13,1,80,"Research & Development","Laboratory Technician",1,3,1,No,Travel_Rarely,4,4,3,1,1,0,0,0,6
55,26,Male,Single,3,"Life Sciences",1,Y,25,Yes,3,1,2293,10558,1357,48,12,0,80,"Research & Development","Laboratory Technician",1,1,3,No,Travel_Rarely,1,3,2,1,1,0,0,1,2
56,27,Male,Single,3,"Life Sciences",1,Y,8,No,3,1,8726,2975,994,37,15,0,80,Sales,"Sales Executive",3,3,3,No,Travel_Frequently,4,4,3,9,9,8,1,7,0
57,30,Female,Single,2,Medical,1,Y,1,No,4,1,4011,10781,721,58,23,0,80,"Research & Development","Laboratory Technician",2,3,4,No,Travel_Frequently,3,4,3,12,12,8,3,7,2
58,41,Female,Married,3,"Technical Degree",1,Y,12,Yes,3,1,19545,16280,1360,49,12,0,80,"Research & Development","Research Director",5,3,3,No,Travel_Rarely,2,4,3,23,22,15,15,8,0
60,34,Male,Single,4,Marketing,0,Y,23,No,4,1,4568,10034,1065,72,20,0,80,Sales,"Sales Executive",2,3,3,No,Non-Travel,2,3,3,10,9,5,8,7,2
61,37,Male,Married,2,"Life Sciences",4,Y,19,No,4,1,3022,10227,408,73,21,0,80,"Research & Development","Research Scientist",1,3,2,No,Travel_Rarely,2,1,3,8,1,0,0,0,1
62,46,Male,Single,4,Marketing,4,Y,5,No,4,1,5772,20445,1211,98,21,0,80,Sales,"Sales Executive",2,3,4,Yes,Travel_Frequently,1,3,3,14,9,6,0,8,4
63,35,Male,Married,1,"Life Sciences",1,Y,8,No,3,1,2269,4892,1229,36,19,0,80,"Research & Development","Laboratory Technician",1,4,4,No,Travel_Rarely,4,4,3,1,1,0,0,1,2
64,48,Male,Single,2,"Life Sciences",9,Y,1,Yes,3,1,5381,19294,626,98,13,0,80,"Research & Development","Laboratory Technician",3,2,3,Yes,Travel_Rarely,1,4,3,23,1,0,0,0,2
65,28,Male,Single,4,"Technical Degree",1,Y,5,Yes,3,1,3441,11179,1434,50,13,0,80,"Research & Development","Laboratory Technician",1,3,3,Yes,Travel_Rarely,3,3,2,2,2,2,2,2,3
68,44,Female,Divorced,5,Marketing,5,Y,1,No,4,1,5454,4009,1488,75,21,1,80,Sales,"Sales Executive",2,3,1,Yes,Travel_Rarely,2,3,2,9,4,3,1,3,2
70,35,Male,Married,2,Medical,2,Y,11,No,3,1,9884,8302,1097,79,13,1,80,"Research & Development","Healthcare Representative",3,2,1,Yes,Non-Travel,3,3,3,10,4,0,2,3,3
72,26,Female,Married,3,Marketing,7,Y,23,No,3,1,4157,21436,1443,47,19,1,80,Sales,"Sales Executive",2,2,4,Yes,Travel_Rarely,3,3,2,5,2,2,0,0,2
73,33,Female,Single,2,"Life Sciences",1,Y,1,No,3,1,13458,15146,515,98,12,0,80,"Research & Development","Research Director",3,3,4,Yes,Travel_Frequently,1,3,3,15,15,14,8,12,1
74,35,Male,Married,5,"Life Sciences",1,Y,18,No,4,1,9069,11031,853,71,22,1,80,Sales,"Sales Executive",3,3,1,No,Travel_Frequently,2,4,2,9,9,8,1,8,3
75,35,Female,Married,4,Medical,3,Y,23,No,3,1,4014,16002,1142,30,15,1,80,"Research & Development","Laboratory Technician",1,3,1,Yes,Travel_Rarely,3,3,3,4,2,2,2,2,3
76,31,Male,Divorced,4,"Life Sciences",3,Y,7,No,4,1,5915,9528,655,48,22,1,80,"Research & Development","Laboratory Technician",2,3,4,No,Travel_Rarely,4,4,2,10,7,7,1,7,3
77,37,Male,Divorced,4,"Life Sciences",1,Y,1,No,3,1,5993,2689,1115,51,18,1,80,"Research & Development","Manufacturing Director",2,2,3,No,Travel_Rarely,1,3,4,7,7,5,0,7,2
78,32,Male,Married,3,Medical,1,Y,1,No,4,1,6162,10877,427,33,22,1,80,"Research & Development","Manufacturing Director",2,3,4,Yes,Travel_Rarely,1,2,3,9,9,8,7,8,3
79,38,Female,Single,5,"Life Sciences",1,Y,29,No,3,1,2406,5456,653,50,11,0,80,"Research & Development","Laboratory Technician",2,3,4,No,Travel_Frequently,4,4,3,10,10,3,9,9,2
80,50,Female,Divorced,2,Medical,5,Y,7,No,3,1,18740,16701,989,43,12,1,80,"Research & Development","Research Director",5,2,3,Yes,Travel_Rarely,2,4,2,29,27,3,13,8,2
81,59,Female,Single,3,"Life Sciences",7,Y,25,No,3,1,7637,2354,1435,99,11,0,80,Sales,"Sales Executive",3,3,1,No,Travel_Rarely,1,4,2,28,21,16,7,9,3
83,36,Female,Divorced,3,"Technical Degree",1,Y,8,No,3,1,10096,8202,1223,59,13,3,80,"Research & Development","Healthcare Representative",3,3,3,No,Travel_Rarely,3,2,3,17,17,14,12,8,2
84,55,Female,Divorced,3,Medical,2,Y,8,No,3,1,14756,19730,836,33,14,3,80,"Research & Development",Manager,4,3,3,Yes,Travel_Rarely,4,3,3,21,5,0,0,2,2
85,36,Male,Single,3,"Life Sciences",1,Y,11,No,3,1,6499,22656,1195,95,13,0,80,"Research & Development","Manufacturing Director",2,2,2,No,Travel_Frequently,2,3,3,6,6,5,0,3,3
86,45,Male,Divorced,3,"Life Sciences",2,Y,7,No,3,1,9724,18787,1339,59,17,1,80,"Research & Development","Research Scientist",3,3,1,No,Travel_Rarely,2,3,3,25,1,0,0,0,2
88,35,Male,Married,3,Medical,4,Y,1,No,3,1,2194,5868,664,79,13,1,80,"Research & Development","Research Scientist",1,3,1,No,Travel_Frequently,2,4,2,5,3,2,1,2,2
90,36,Male,Married,3,Medical,0,Y,9,Yes,3,1,3388,21777,318,79,17,1,80,"Research & Development","Research Scientist",1,2,3,Yes,Travel_Rarely,4,1,2,2,1,0,0,0,0
91,59,Female,Single,1,"Life Sciences",7,Y,1,No,3,1,5473,24668,1225,57,11,0,80,Sales,"Sales Executive",2,2,3,No,Travel_Frequently,1,4,2,20,4,3,1,3,2
94,29,Male,Married,3,"Life Sciences",0,Y,2,No,4,1,2703,4956,1328,76,23,1,80,"Research & Development","Research Scientist",1,3,2,No,Travel_Rarely,3,4,3,6,5,4,0,4,3
95,31,Male,Single,4,Medical,1,Y,1,No,3,1,2501,18775,1082,87,17,0,80,"Research & Development","Research Scientist",1,3,2,No,Travel_Rarely,3,2,3,1,1,1,1,0,4
96,32,Male,Married,3,"Life Sciences",1,Y,1,No,3,1,6220,7346,548,66,17,2,80,"Research & Development","Research Scientist",2,3,2,No,Travel_Rarely,2,2,3,10,10,4,0,9,3
97,36,Female,Married,3,"Life Sciences",3,Y,6,No,3,1,3038,22002,132,55,12,0,80,"Research & Development","Laboratory Technician",1,4,4,No,Travel_Rarely,2,2,3,5,1,0,0,0,3
98,31,Female,Single,4,"Life Sciences",1,Y,8,No,4,1,4424,20682,746,61,23,0,80,"Research & Development","Manufacturing Director",2,3,4,No,Travel_Rarely,3,4,3,11,11,7,1,8,2
100,35,Male,Single,4,Marketing,0,Y,1,No,3,1,4312,23016,776,32,14,0,80,Sales,"Sales Executive",2,2,1,No,Travel_Rarely,3,2,3,16,15,13,2,8,2
101,45,Male,Married,4,Other,4,Y,6,No,3,1,13245,15067,193,52,14,0,80,"Research & Development","Research Director",3,3,1,Yes,Travel_Rarely,4,2,4,17,0,0,0,0,3
102,37,Male,Single,4,Medical,4,Y,7,No,3,1,13664,25258,397,30,13,0,80,"Research & Development","Research Director",3,3,3,No,Travel_Rarely,1,1,4,16,5,2,0,2,3
103,46,Male,Divorced,2,Medical,8,Y,5,No,4,1,5021,10425,945,80,22,1,80,"Human Resources","Human Resources",2,3,2,Yes,Travel_Rarely,2,4,3,16,4,2,0,2,2
104,30,Male,Married,1,"Life Sciences",1,Y,1,No,3,1,5126,15998,852,55,12,2,80,"Research & Development","Laboratory Technician",2,2,4,Yes,Travel_Rarely,4,3,2,10,10,8,3,0,1
105,35,Male,Single,3,Medical,1,Y,1,No,3,1,2859,26278,1214,30,18,0,80,"Research & Development","Research Scientist",1,2,3,No,Travel_Rarely,2,1,3,6,6,4,0,4,3
106,55,Male,Married,2,"Life Sciences",3,Y,1,No,3,1,10239,18092,111,70,14,1,80,Sales,"Sales Executive",3,3,4,No,Travel_Rarely,1,4,3,24,1,0,1,0,4
107,38,Female,Divorced,3,Medical,7,Y,6,No,3,1,5329,15717,573,79,12,3,80,"Research & Development","Research Scientist",2,1,4,Yes,Non-Travel,2,4,3,17,13,11,1,9,3
110,34,Male,Married,2,Medical,1,Y,1,No,3,1,4325,17736,1153,94,15,0,80,"Research & Development","Manufacturing Director",2,3,2,No,Travel_Rarely,1,3,3,5,5,2,1,3,2
112,56,Male,Single,3,"Life Sciences",4,Y,7,No,3,1,7260,21698,1400,49,11,0,80,"Research & Development","Manufacturing Director",3,1,4,No,Travel_Rarely,4,1,2,37,6,4,0,2,3
113,23,Male,Divorced,1,"Technical Degree",3,Y,2,No,3,1,2322,9518,541,62,13,1,80,Sales,"Sales Representative",1,3,1,No,Travel_Rarely,3,3,3,3,0,0,0,0,3
116,51,Male,Married,4,"Life Sciences",3,Y,9,No,4,1,2075,18725,432,96,23,2,80,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,4,2,3,10,4,2,0,3,4
117,30,Male,Married,3,"Life Sciences",1,Y,2,No,3,1,4152,15830,288,99,19,3,80,"Research & Development","Healthcare Representative",2,2,4,No,Travel_Rarely,3,1,3,11,11,10,10,8,3
118,46,Male,Single,2,Medical,1,Y,9,Yes,3,1,9619,13596,669,64,16,0,80,Sales,"Sales Executive",3,2,4,No,Travel_Rarely,3,4,3,9,9,8,4,7,3
119,40,Male,Married,4,"Life Sciences",1,Y,1,No,4,1,13503,14115,530,78,22,1,80,"Research & Development","Healthcare Representative",4,2,2,No,Travel_Frequently,3,4,2,22,22,3,11,11,3
120,51,Male,Single,4,Marketing,0,Y,21,No,4,1,5441,8423,632,71,22,0,80,Sales,"Sales Executive",2,3,4,Yes,Travel_Rarely,3,4,1,11,10,7,1,0,2
121,30,Female,Divorced,2,Medical,1,Y,4,No,3,1,5209,19760,1334,63,12,3,80,Sales,"Sales Executive",2,2,2,Yes,Travel_Rarely,3,2,2,11,11,8,2,7,4
124,46,Male,Married,3,Medical,2,Y,1,No,3,1,10673,3142,638,40,13,1,80,"Research & Development","Healthcare Representative",3,2,1,Yes,Travel_Frequently,3,3,2,21,10,9,9,5,5
125,32,Male,Single,4,Medical,1,Y,6,No,3,1,5010,24301,1093,87,16,0,80,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,2,1,3,12,11,8,5,7,0
126,54,Female,Married,4,"Technical Degree",9,Y,2,No,3,1,13549,24001,1217,60,12,1,80,"Research & Development","Research Director",3,3,3,No,Travel_Rarely,1,1,1,16,4,3,0,3,5
128,24,Female,Married,2,Other,0,Y,3,No,4,1,4999,17519,1353,33,21,1,80,Sales,"Sales Executive",2,3,3,No,Travel_Rarely,1,1,2,4,3,2,0,2,2
129,28,Male,Married,3,Medical,1,Y,4,No,3,1,4221,8863,120,43,15,0,80,Sales,"Sales Executive",2,3,3,No,Non-Travel,2,2,4,5,5,4,0,4,3
131,58,Male,Single,4,Medical,0,Y,10,No,3,1,13872,24409,682,37,13,0,80,Sales,"Sales Executive",4,3,3,No,Travel_Rarely,4,3,2,38,37,10,1,8,1
132,44,Male,Married,3,Medical,4,Y,23,No,3,1,2042,25043,489,67,12,1,80,"Research & Development","Laboratory Technician",2,3,2,No,Non-Travel,2,3,4,17,3,2,1,2,3
133,37,Male,Divorced,4,"Human Resources",4,Y,6,Yes,4,1,2073,23648,807,63,22,0,80,"Human Resources","Human Resources",1,3,1,Yes,Travel_Rarely,3,4,3,7,3,2,0,2,3
134,32,Male,Single,1,"Life Sciences",1,Y,1,No,3,1,2956,15178,827,71,13,0,80,"Research & Development","Research Scientist",1,3,1,No,Travel_Rarely,4,4,3,1,1,0,0,0,2
137,20,Female,Single,3,"Life Sciences",1,Y,6,Yes,3,1,2926,19783,871,66,18,0,80,"Research & Development","Laboratory Technician",1,2,4,Yes,Travel_Frequently,4,2,3,1,1,0,1,0,5
138,34,Female,Single,4,Other,1,Y,6,No,3,1,4809,12482,665,41,14,0,80,"Research & Development","Research Scientist",2,3,3,No,Travel_Rarely,1,3,3,16,16,13,2,10,3
139,37,Male,Divorced,2,"Life Sciences",5,Y,2,No,3,1,5163,15850,1040,100,14,1,80,"Research & Development","Healthcare Representative",2,2,4,No,Non-Travel,3,4,4,17,1,0,0,0,2
140,59,Female,Married,4,"Human Resources",9,Y,2,No,4,1,18844,21922,1420,32,21,1,80,"Human Resources",Manager,5,2,4,No,Non-Travel,3,4,3,30,3,2,2,2,3
141,50,Female,Married,3,"Life Sciences",3,Y,1,No,3,1,18172,9755,1115,73,19,0,80,"Research & Development","Research Director",5,3,2,Yes,Travel_Frequently,1,1,2,28,8,3,0,7,1
142,25,Male,Single,3,Marketing,1,Y,5,Yes,3,1,5744,26959,240,46,11,0,80,Sales,"Sales Executive",2,2,3,Yes,Travel_Rarely,3,4,3,6,6,4,0,3,1
143,25,Male,Married,1,Medical,1,Y,7,No,3,1,2889,26897,1280,64,11,2,80,"Research & Development","Research Scientist",1,2,4,No,Travel_Rarely,4,3,3,2,2,2,2,1,2
144,22,Female,Single,3,Medical,1,Y,15,No,3,1,2871,23785,534,59,15,0,80,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,2,3,3,1,0,0,0,0,5
145,51,Female,Single,4,Medical,3,Y,1,No,4,1,7484,25796,1456,30,20,0,80,"Research & Development","Healthcare Representative",3,2,1,No,Travel_Frequently,1,3,2,23,13,12,12,8,1
147,34,Male,Single,3,"Life Sciences",1,Y,7,Yes,4,1,6074,22887,658,66,24,0,80,"Research & Development","Laboratory Technician",2,1,3,Yes,Travel_Frequently,1,4,3,9,9,7,0,6,3
148,54,Female,Single,3,"Human Resources",2,Y,26,No,3,1,17328,13871,142,30,12,0,80,"Human Resources",Manager,4,4,4,Yes,Non-Travel,4,3,3,23,5,3,4,4,3
150,24,Male,Married,1,"Life Sciences",0,Y,18,No,3,1,2774,13257,1127,52,12,1,80,"Research & Development","Laboratory Technician",1,3,3,No,Travel_Rarely,2,3,3,6,5,3,1,2,2
151,34,Female,Divorced,4,"Life Sciences",6,Y,6,No,3,1,4505,15000,1031,45,15,1,80,"Research & Development","Research Scientist",2,2,2,No,Travel_Rarely,3,3,3,12,1,0,0,0,3
152,37,Male,Single,3,"Life Sciences",2,Y,3,No,3,1,7428,14506,1189,87,12,0,80,Sales,"Sales Executive",3,3,4,No,Travel_Rarely,3,1,3,12,5,3,1,3,3
153,34,Female,Single,3,Medical,2,Y,5,No,3,1,11631,5615,1354,45,12,0,80,"Research & Development",Manager,3,2,1,No,Travel_Rarely,3,4,3,14,11,10,5,8,6
154,36,Female,Married,2,"Technical Degree",0,Y,11,No,3,1,9738,22952,1467,92,14,1,80,Sales,"Sales Executive",3,3,4,No,Travel_Frequently,2,3,3,10,9,7,2,8,6
155,36,Female,Divorced,2,"Life Sciences",5,Y,3,No,4,1,2835,2561,922,39,22,1,80,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,1,1,3,7,1,0,0,0,2
158,43,Male,Married,2,"Life Sciences",1,Y,26,No,3,1,16959,19494,394,92,12,2,80,Sales,Manager,4,3,4,Yes,Travel_Frequently,3,4,4,25,25,12,4,12,3
159,30,Male,Divorced,3,"Life Sciences",1,Y,23,No,4,1,2613,22310,1312,96,25,3,80,"Research & Development","Research Scientist",1,1,3,No,Travel_Frequently,1,3,2,10,10,7,0,9,2
160,33,Male,Married,2,Marketing,0,Y,22,No,3,1,6146,15480,750,95,13,1,80,Sales,"Sales Executive",2,3,2,No,Non-Travel,3,1,4,8,7,7,0,7,2
161,56,Female,Married,4,"Life Sciences",9,Y,14,Yes,3,1,4963,4510,441,72,18,3,80,"Research & Development","Research Scientist",1,3,2,Yes,Travel_Rarely,2,1,3,7,5,4,4,3,2
162,51,Male,Single,3,"Life Sciences",7,Y,6,No,3,1,19537,6462,684,51,13,0,80,"Research & Development","Research Director",5,3,3,No,Travel_Rarely,1,3,3,23,20,18,15,15,5
163,31,Male,Married,4,"Life Sciences",4,Y,6,Yes,3,1,6172,20739,249,76,18,0,80,Sales,"Sales Executive",2,1,3,Yes,Travel_Rarely,2,2,2,12,7,7,7,7,3
164,26,Female,Married,3,Other,1,Y,6,No,3,1,2368,23300,841,46,19,0,80,"Research & Development","Research Scientist",1,2,2,No,Travel_Rarely,3,3,2,5,5,4,4,3,3
165,58,Female,Married,4,Medical,1,Y,23,Yes,3,1,10312,3465,147,94,12,1,80,"Research & Development","Healthcare Representative",3,3,4,No,Travel_Rarely,4,4,2,40,40,10,15,6,3
167,19,Male,Single,1,Marketing,1,Y,22,Yes,3,1,1675,26820,528,50,19,0,80,Sales,"Sales Representative",1,3,3,Yes,Travel_Rarely,4,4,2,0,0,0,0,0,2
169,22,Male,Married,1,"Technical Degree",0,Y,2,No,3,1,2523,19299,594,100,14,1,80,"Research & Development","Laboratory Technician",1,3,4,No,Travel_Rarely,3,3,3,3,2,1,2,1,2
170,49,Female,Married,4,Medical,1,Y,20,No,3,1,6567,5549,470,96,14,0,80,"Research & Development","Manufacturing Director",2,3,1,No,Travel_Rarely,3,3,2,16,15,11,5,11,2
171,43,Female,Single,3,Medical,4,Y,28,No,3,1,4739,16090,957,72,12,0,80,"Research & Development","Research Scientist",1,4,3,No,Travel_Frequently,2,4,3,18,3,2,1,2,2
174,50,Female,Single,3,Marketing,4,Y,12,No,3,1,9208,6645,809,77,11,0,80,Sales,"Sales Executive",3,3,4,No,Travel_Frequently,3,4,3,16,2,2,2,1,3
175,31,Female,Married,3,"Life Sciences",3,Y,20,Yes,3,1,4559,24788,542,71,11,1,80,Sales,"Sales Executive",2,1,3,Yes,Travel_Rarely,2,3,3,4,2,2,2,2,2
176,41,Male,Divorced,1,"Life Sciences",3,Y,9,No,3,1,8189,21196,802,96,13,1,80,Sales,"Sales Executive",3,3,3,Yes,Travel_Rarely,3,3,3,12,9,7,0,7,2
177,26,Female,Married,1,"Life Sciences",1,Y,25,No,4,1,2942,8916,1355,61,23,1,80,"Human Resources","Human Resources",1,3,3,No,Travel_Rarely,3,4,3,8,8,7,5,7,3
178,36,Male,Divorced,2,Medical,6,Y,6,No,4,1,4941,2819,216,84,20,2,80,"Research & Development","Manufacturing Director",2,3,2,No,Travel_Rarely,2,4,3,7,3,2,0,1,0
179,51,Male,Single,4,"Life Sciences",2,Y,8,Yes,3,1,10650,25150,1150,53,15,0,80,"Research & Development","Manufacturing Director",3,1,4,No,Travel_Frequently,1,4,3,18,4,2,0,3,2
